Feature,Average Change (%),Change Frequency (%)
Feature 1,2.241567741452147,71.875
Feature 2,5.154642968709563,43.75
Feature 3,2.6502768769104863,65.625
Feature 4,0.0,0.0
Feature 5,0.0,0.0
Feature 6,0.0,0.0
Feature 7,0.0,0.0
Feature 8,3.1249968750031254,3.125
Feature 9,9375000.0,9.375
Feature 10,0.0,0.0
Feature 11,0.0,0.0
Feature 12,0.0,0.0
Feature 13,3.638867808997404,78.125
Feature 14,2.1753442406407726,62.5
Feature 15,3.146519758502641,62.5
Feature 16,3.8332039987873374,62.5
Feature 17,0.4689244801224707,50.0
Feature 18,0.8857966917267958,68.75
Feature 19,46.93477977751493,71.875
Feature 20,2.860680590803066,59.375
Feature 21,6.312061144593503,75.0
Feature 22,2.9497495715449937,62.5
Feature 23,0.975552304070631,78.125
Feature 24,3.1325656627100336,71.875
Feature 25,1.6056281985521457,59.375
Feature 26,18.417274628397173,65.625
Feature 27,19.87100680297674,65.625
Feature 28,2.6067012671233747,71.875
Feature 29,44.27688699533945,71.875
Feature 30,101.95127493763563,62.5
Feature 31,19.723048952827455,65.625
Feature 32,18.165253246049016,68.75
Feature 33,80.54853839957839,96.875
Feature 34,4281.449979080812,84.375
Feature 35,8.805097717878462,71.875
Feature 36,18.9229277961616,75.0
Feature 37,5.3628504243271005,65.625
Feature 38,2.7015205616868077,65.625
Feature 39,0.7273979447484658,78.125
Feature 40,0.898613359418452,53.125
Feature 41,1.6838382926404825,65.625
Feature 42,3.9917352265244266,53.125
Feature 43,2.087016199792119,71.875
Feature 44,0.12036559347433197,65.625
Feature 45,6.34884854819387,78.125
Feature 46,5.277447218566888,62.5
Feature 47,10.641889456798346,65.625
Feature 48,10.835725068398823,62.5
